Date,Open,High,Low,Close,Adj Close,Volume
20-01-2021,3270,3327.949951,3267.100098,3308.800049,3308.800049,3453446
21-01-2021,3305,3309.149902,3262.100098,3273.850098,3273.850098,2778546
22-01-2021,3241.899902,3325,3241.899902,3303.100098,3303.100098,3052459
25-01-2021,3308.949951,3339.800049,3278.649902,3291.300049,3291.300049,2272887
27-01-2021,3300,3306.449951,3227,3261.050049,3261.050049,2786662
28-01-2021,3230,3275,3183.800049,3196.550049,3196.550049,3083938
29-01-2021,3210.050049,3216.850098,3100,3111.350098,3111.350098,5445659
01-02-2021,3100,3165,3044.100098,3139.350098,3139.350098,3985846
02-02-2021,3174,3224,3150,3203.449951,3203.449951,2881837
03-02-2021,3213,3236,3162.649902,3200.050049,3200.050049,2505866
04-02-2021,3216.050049,3237.850098,3176,3188.449951,3188.449951,2057261
05-02-2021,3198.949951,3205.850098,3129,3157.949951,3157.949951,2366135
08-02-2021,3189.5,3226,3155.149902,3214.100098,3214.100098,2526592
09-02-2021,3195,3245.800049,3164,3176.899902,3176.899902,2658751
10-02-2021,3185,3219.399902,3157.300049,3213.300049,3213.300049,2127983
11-02-2021,3215,3219.300049,3185.050049,3206,3206,1165882
12-02-2021,3184.199951,3245.5,3182,3190.800049,3190.800049,2777404
15-02-2021,3209,3209,3131.550049,3139.850098,3139.850098,2630853
16-02-2021,3150,3167.649902,3100,3108.800049,3108.800049,3435770
17-02-2021,3105.100098,3132.850098,3045.550049,3073.100098,3073.100098,3678426
18-02-2021,3065,3097.899902,3031,3057.350098,3057.350098,4189909
19-02-2021,3058,3087.149902,3016.149902,3071.850098,3071.850098,3725028
22-02-2021,3096,3096,2943.149902,2958.449951,2958.449951,5366696
23-02-2021,2970,3028,2968,2980.199951,2980.199951,3832829
24-02-2021,2972,3003.350098,2921.149902,2948.100098,2948.100098,3774549
25-02-2021,2974,3029.899902,2968.449951,2995.300049,2995.300049,4224073
26-02-2021,2960,2972.350098,2880,2894.300049,2894.300049,5553153
01-03-2021,2926,2965,2901.800049,2924.199951,2924.199951,3265871
02-03-2021,2960,3025,2948,3006.350098,3006.350098,3306469
03-03-2021,3035,3064,2996.899902,3059.100098,3059.100098,3509857
04-03-2021,3023,3081.449951,3016.050049,3049.699951,3049.699951,3916760
05-03-2021,3016.100098,3063.199951,2996.600098,3008.050049,3008.050049,3203686
08-03-2021,3016,3033,2996,3006.949951,3006.949951,2003125
09-03-2021,3006.949951,3066.899902,2992.100098,3050.949951,3050.949951,1942397
10-03-2021,3075,3093.199951,3060,3070.949951,3070.949951,3053778
12-03-2021,3075,3117,3041.350098,3057.949951,3057.949951,2938317
15-03-2021,3041,3099,3041,3066.149902,3066.149902,3097083
16-03-2021,3060,3141,3060,3110.050049,3110.050049,4894756
17-03-2021,3105,3155,3085.300049,3112.949951,3112.949951,3838390
18-03-2021,3125.949951,3146.449951,2987.050049,3036.5,3036.5,3656306
19-03-2021,3030,3099,3005,3050.199951,3050.199951,5776626
22-03-2021,3048.699951,3139.449951,3018.649902,3129.649902,3129.649902,2821646
23-03-2021,3140,3169,3122.850098,3142.600098,3142.600098,3305973
24-03-2021,3111.199951,3152.300049,3111.149902,3121.100098,3121.100098,2207104
25-03-2021,3112.199951,3130.850098,3050,3064.850098,3064.850098,3179786
26-03-2021,3090.649902,3118,3043.050049,3066.800049,3066.800049,3697370
30-03-2021,3083,3188.449951,3060.899902,3158.550049,3158.550049,4694008
31-03-2021,3155,3205,3132,3177.850098,3177.850098,3530069
01-04-2021,3191.100098,3215,3145,3165,3165,4285076
05-04-2021,3171,3263,3151,3238.899902,3238.899902,5317862
06-04-2021,3275,3275,3230,3264.699951,3264.699951,2291562
07-04-2021,3259,3277.550049,3234.800049,3271.399902,3271.399902,2491268
08-04-2021,3270,3335,3266.050049,3317.350098,3317.350098,2578118
09-04-2021,3354,3354.350098,3308,3322.25,3322.25,2911129
12-04-2021,3322.25,3338.100098,3213.199951,3246.550049,3246.550049,3791828
13-04-2021,3214,3214,3073.050049,3104.050049,3104.050049,8654596
15-04-2021,3160.300049,3237.25,3087.449951,3218.949951,3218.949951,6062760
16-04-2021,3229,3247,3182.600098,3195.149902,3195.149902,3224657
19-04-2021,3169,3189,3135.100098,3161.800049,3161.800049,2679106
20-04-2021,3225,3225.350098,3126.350098,3144.550049,3144.550049,3141893
22-04-2021,3148,3148,3105.25,3118.800049,3118.800049,1988980
23-04-2021,3105,3119,3091.050049,3109.5,3109.5,1615309
26-04-2021,3102.050049,3153,3088.050049,3100.800049,3100.800049,2490260
27-04-2021,3106,3136.100098,3103,3132,3132,1471417
28-04-2021,3149.949951,3151,3112,3124.100098,3124.100098,1639037
29-04-2021,3145.600098,3157.350098,3105.5,3115.25,3115.25,1621395
30-04-2021,3099,3132.050049,3020,3035.649902,3035.649902,3072305
03-05-2021,3024.899902,3055,3004,3037,3037,1545831
04-05-2021,3062.800049,3090,3035,3049.75,3049.75,1990777
05-05-2021,3070,3099.399902,3052.399902,3095.699951,3095.699951,1939289
06-05-2021,3105.5,3120,3074,3116.550049,3116.550049,916910
